ZSczzzC, 
2022-07-22 10:42:25,728 - ebanking -INFO - URL is opened
2022-07-22 10:42:27,237 - ebanking -INFO - Entered Username
2022-07-22 10:42:29,208 - ebanking -INFO - Entered Password
2022-07-22 10:43:22,921 - ebanking -INFO - URL is opened
2022-07-22 10:43:24,340 - ebanking -INFO - Entered Username
2022-07-22 10:43:24,751 - ebanking -INFO - Entered Password
2022-07-22 10:48:24,502 - ebanking -INFO - URL is opened
2022-07-22 10:48:24,880 - ebanking -INFO - Entered Username
2022-07-22 10:48:25,602 - ebanking -INFO - Entered Password
2022-07-22 11:35:44,970 - ebanking -INFO - URL is opened
2022-07-22 11:35:45,683 - ebanking -INFO - Entered Username
2022-07-22 11:35:45,903 - ebanking -INFO - Entered Password
2022-07-22 11:38:53,520 - ebanking -INFO - URL is opened
2022-07-22 11:38:53,789 - ebanking -INFO - Entered Username
2022-07-22 11:38:54,333 - ebanking -INFO - Entered Password
2022-07-22 11:40:51,106 - ebanking -INFO - URL is opened
2022-07-22 11:40:51,511 - ebanking -INFO - Entered Username
2022-07-22 11:40:51,687 - ebanking -INFO - Entered Password
2022-07-22 11:41:07,208 - ebanking -INFO - Switching to Ad frame
2022-07-22 11:41:58,821 - ebanking -INFO - URL is opened
2022-07-22 11:41:59,129 - ebanking -INFO - Entered Username
2022-07-22 11:41:59,621 - ebanking -INFO - Entered Password
2022-07-22 11:43:00,328 - ebanking -INFO - URL is opened
2022-07-22 11:43:00,818 - ebanking -INFO - Entered Username
2022-07-22 11:43:01,093 - ebanking -INFO - Entered Password
2022-07-22 11:43:16,821 - ebanking -INFO - Switching to Ad frame
2022-07-22 11:43:46,534 - ebanking -INFO - URL is opened
2022-07-22 11:43:46,879 - ebanking -INFO - Entered Username
2022-07-22 11:43:47,424 - ebanking -INFO - Entered Password
2022-07-22 11:44:02,612 - ebanking -INFO - Switching to Ad frame
2022-07-22 11:46:14,333 - ebanking -INFO - URL is opened
2022-07-22 11:46:14,693 - ebanking -INFO - Entered Username
2022-07-22 11:46:15,093 - ebanking -INFO - Entered Password
2022-07-22 11:47:45,791 - ebanking -INFO - URL is opened
2022-07-22 11:47:46,147 - ebanking -INFO - Entered Username
2022-07-22 11:47:46,402 - ebanking -INFO - Entered Password
2022-07-22 11:51:30,572 - ebanking -INFO - URL is opened
2022-07-22 11:51:31,068 - ebanking -INFO - Entered Username
2022-07-22 11:51:31,292 - ebanking -INFO - Entered Password
2022-07-22 11:55:02,230 - ebanking -INFO - URL is opened
2022-07-22 11:55:03,044 - ebanking -INFO - Entered Username
2022-07-22 11:55:03,222 - ebanking -INFO - Entered Password
2022-07-22 11:55:18,735 - ebanking -INFO - Switching to Ad frame 1
2022-07-22 11:55:18,799 - ebanking -INFO - Switching to Ad frame 2
2022-07-22 11:55:35,568 - ebanking -INFO - test case passed
2022-07-22 11:56:35,740 - ebanking -INFO - URL is opened
2022-07-22 11:56:36,026 - ebanking -INFO - Entered Username
2022-07-22 11:56:36,184 - ebanking -INFO - Entered Password
2022-07-22 11:56:51,857 - ebanking -INFO - Switching to Ad frame 1
2022-07-22 11:56:51,980 - ebanking -INFO - Switching to Ad frame 2
2022-07-22 11:58:02,593 - ebanking -INFO - URL is opened
2022-07-22 11:58:02,940 - ebanking -INFO - Entered Username
2022-07-22 11:58:03,123 - ebanking -INFO - Entered Password
2022-07-22 11:58:18,592 - ebanking -INFO - Switching to Ad frame 1
2022-07-22 11:58:18,646 - ebanking -INFO - Switching to Ad frame 2
2022-07-22 11:58:31,483 - ebanking -INFO - test case passed
2022-07-22 12:02:35,880 - ebanking -INFO - URL is opened
2022-07-22 12:02:36,081 - ebanking -INFO - Entered Username
2022-07-22 12:02:36,189 - ebanking -INFO - Entered Password
2022-07-22 12:02:39,347 - ebanking -INFO - Login test passed
2022-07-22 12:02:43,587 - ebanking -INFO - URL is opened
2022-07-22 12:02:44,985 - ebanking -INFO - Entered Username
2022-07-22 12:02:45,096 - ebanking -INFO - Entered Password
2022-07-22 12:02:50,779 - ebanking -WARN - Login failed
2022-07-22 12:02:50,904 - ebanking -INFO - Entered Username
2022-07-22 12:02:51,183 - ebanking -INFO - Entered Password
2022-07-22 12:02:57,598 - ebanking -INFO - Login passed
2022-07-22 12:03:06,814 - ebanking -INFO - URL is opened
2022-07-22 12:03:06,976 - ebanking -INFO - Entered Username
2022-07-22 12:03:07,103 - ebanking -INFO - Entered Password
2022-07-22 12:03:24,081 - ebanking -INFO - Switching to Ad frame 1
2022-07-22 12:03:24,133 - ebanking -INFO - Switching to Ad frame 2
2022-07-22 12:04:34,161 - ebanking -INFO - URL is opened
2022-07-22 12:04:34,943 - ebanking -INFO - Entered Username
2022-07-22 12:04:35,062 - ebanking -INFO - Entered Password
2022-07-22 12:04:36,426 - ebanking -INFO - Login test passed
2022-07-22 12:04:40,608 - ebanking -INFO - URL is opened
2022-07-22 12:04:42,537 - ebanking -INFO - Entered Username
2022-07-22 12:04:42,634 - ebanking -INFO - Entered Password
2022-07-22 12:04:48,214 - ebanking -WARN - Login failed
2022-07-22 12:04:48,589 - ebanking -INFO - Entered Username
2022-07-22 12:04:48,681 - ebanking -INFO - Entered Password
2022-07-22 12:04:54,657 - ebanking -INFO - Login passed
2022-07-22 12:05:07,283 - ebanking -INFO - URL is opened
2022-07-22 12:05:07,443 - ebanking -INFO - Entered Username
2022-07-22 12:05:07,568 - ebanking -INFO - Entered Password
2022-07-22 12:05:23,851 - ebanking -INFO - Switching to Ad frame 1
2022-07-22 12:05:23,898 - ebanking -INFO - Switching to Ad frame 2
2022-07-22 12:05:36,360 - ebanking -INFO - test case passed
2022-07-22 12:06:19,019 - ebanking -INFO - URL is opened
2022-07-22 12:06:19,270 - ebanking -INFO - Entered Username
2022-07-22 12:06:19,401 - ebanking -INFO - Entered Password
2022-07-22 12:06:20,839 - ebanking -INFO - Login test passed
2022-07-22 12:06:25,089 - ebanking -INFO - URL is opened
2022-07-22 12:06:26,946 - ebanking -INFO - Entered Username
2022-07-22 12:06:27,051 - ebanking -INFO - Entered Password
2022-07-22 12:06:34,188 - ebanking -WARN - Login failed
2022-07-22 12:06:34,343 - ebanking -INFO - Entered Username
2022-07-22 12:06:34,590 - ebanking -INFO - Entered Password
2022-07-22 12:06:40,590 - ebanking -INFO - Login passed
2022-07-22 12:06:51,947 - ebanking -INFO - URL is opened
2022-07-22 12:06:52,066 - ebanking -INFO - Entered Username
2022-07-22 12:06:52,152 - ebanking -INFO - Entered Password
2022-07-22 12:07:06,639 - ebanking -INFO - Switching to Ad frame 1
2022-07-22 12:07:06,688 - ebanking -INFO - Switching to Ad frame 2
2022-07-22 12:07:18,890 - ebanking -INFO - test case passed
